A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  1639684
Episode 296, Reward: 0.0, Mean Loss: 0.023076905673927985, Number of Steps: 122
Episode 297, Reward: 0.0, Mean Loss: 0.02303398948997263, Number of Steps: 122
Episode 298, Reward: 0.0, Mean Loss: 0.023003367084621446, Number of Steps: 122
Episode 299, Reward: 0.0, Mean Loss: 0.023018826611867733, Number of Steps: 122
Episode 300, Reward: 0.0, Mean Loss: 0.02305328347073719, Number of Steps: 122
Episode 301, Reward: 0.0, Mean Loss: 0.022977636660664862, Number of Steps: 122
Episode 302, Reward: 0.0, Mean Loss: 0.02302852627541202, Number of Steps: 122
Episode 303, Reward: 0.0, Mean Loss: 0.02324051887835147, Number of Steps: 122
Episode 304, Reward: 0.0, Mean Loss: 0.023121495814430987, Number of Steps: 122
Episode 305, Reward: 0.0, Mean Loss: 0.022859022791590924, Number of Steps: 122
Episode 306, Reward: 0.0, Mean Loss: 0.023293158436407807, Number of Steps: 122
Episode 307, Reward: 0.0, Mean Loss: 0.02305193520919229, Number of Steps: 122
Episode 308, Reward: 0.0, Mean Loss: 0.023437302483276266, Number of Steps: 122
Episode 309, Reward: 0.0, Mean Loss: 0.0232985525498869, Number of Steps: 122
Episode 310, Reward: 0.0, Mean Loss: 0.023205297697191395, Number of Steps: 122
Episode 311, Reward: 0.0, Mean Loss: 0.023092824407732953, Number of Steps: 122
Episode 312, Reward: 0.0, Mean Loss: 0.023350180401543123, Number of Steps: 122
Episode 313, Reward: 0.0, Mean Loss: 0.023246564871830043, Number of Steps: 122
Episode 314, Reward: 0.0, Mean Loss: 0.023416487072579196, Number of Steps: 122
Episode 315, Reward: 0.0, Mean Loss: 0.023002463881476004, Number of Steps: 122
Episode 316, Reward: 0.0, Mean Loss: 0.02320083175770572, Number of Steps: 122
Episode 317, Reward: 0.0, Mean Loss: 0.023290392790050782, Number of Steps: 122
Episode 318, Reward: 0.0, Mean Loss: 0.023048297050991096, Number of Steps: 122
Episode 319, Reward: 0.0, Mean Loss: 0.022939999060386594, Number of Steps: 122
Episode 320, Reward: 0.0, Mean Loss: 0.023340033443614107, Number of Steps: 122
Episode 321, Reward: 0.0, Mean Loss: 0.023417257138940155, Number of Steps: 122
Episode 322, Reward: 0.0, Mean Loss: 0.023152305259484775, Number of Steps: 122
Episode 323, Reward: 0.0, Mean Loss: 0.023056122141944618, Number of Steps: 122
Episode 324, Reward: 0.0, Mean Loss: 0.023325040726182928, Number of Steps: 122
Episode 325, Reward: 0.0, Mean Loss: 0.023240865211667624, Number of Steps: 122
Episode 326, Reward: 0.0, Mean Loss: 0.022939397773698744, Number of Steps: 122
