A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  1640198
Episode 201, Reward: -21.0, Mean Loss: 5.434703447431794, Number of Steps: 764
Episode 202, Reward: -21.0, Mean Loss: 5.483625317119179, Number of Steps: 764
Episode 203, Reward: -21.0, Mean Loss: 5.42499509781443, Number of Steps: 764
Episode 204, Reward: -21.0, Mean Loss: 5.398059560366326, Number of Steps: 764
Episode 205, Reward: -21.0, Mean Loss: 5.490954094532273, Number of Steps: 764
Episode 206, Reward: -21.0, Mean Loss: 5.449361002257981, Number of Steps: 764
Episode 207, Reward: -21.0, Mean Loss: 5.439652652640618, Number of Steps: 764
Episode 208, Reward: -21.0, Mean Loss: 5.493523727536826, Number of Steps: 764
Episode 209, Reward: -21.0, Mean Loss: 5.483625317119179, Number of Steps: 764
Episode 210, Reward: -21.0, Mean Loss: 5.476296539706086, Number of Steps: 764
Episode 211, Reward: -21.0, Mean Loss: 5.493523727536826, Number of Steps: 764
Episode 212, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
Episode 213, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
Episode 214, Reward: -21.0, Mean Loss: 5.454310207466804, Number of Steps: 764
Episode 215, Reward: -21.0, Mean Loss: 5.376073228127045, Number of Steps: 764
Episode 216, Reward: -21.0, Mean Loss: 5.4689677622929915, Number of Steps: 764
Episode 217, Reward: -21.0, Mean Loss: 5.434703447431794, Number of Steps: 764
Episode 218, Reward: -21.0, Mean Loss: 5.456689779671075, Number of Steps: 764
Episode 219, Reward: -21.0, Mean Loss: 5.52045926498493, Number of Steps: 764
Episode 220, Reward: -21.0, Mean Loss: 5.446981430053711, Number of Steps: 764
Episode 221, Reward: -21.0, Mean Loss: 5.420045892605607, Number of Steps: 764
Episode 222, Reward: -21.0, Mean Loss: 5.456689779671075, Number of Steps: 764
Episode 223, Reward: -21.0, Mean Loss: 5.42261552561016, Number of Steps: 764
Episode 224, Reward: -21.0, Mean Loss: 5.439652652640618, Number of Steps: 764
Episode 225, Reward: -21.0, Mean Loss: 5.454310207466804, Number of Steps: 764
Episode 226, Reward: -21.0, Mean Loss: 5.4299443030232535, Number of Steps: 764
Episode 227, Reward: -21.0, Mean Loss: 5.483625317119179, Number of Steps: 764
Episode 228, Reward: -21.0, Mean Loss: 5.3933004159577855, Number of Steps: 764
Episode 229, Reward: -21.0, Mean Loss: 5.4398427134409, Number of Steps: 764
Episode 230, Reward: -21.0, Mean Loss: 5.476296539706086, Number of Steps: 764
Episode 231, Reward: -21.0, Mean Loss: 5.3907307829532325, Number of Steps: 764
Episode 232, Reward: -21.0, Mean Loss: 5.410337542988243, Number of Steps: 764
Episode 233, Reward: -21.0, Mean Loss: 5.500662444149636, Number of Steps: 764
