A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  533
Episode 210, Reward: 0.0, Mean Loss: 7.502249053267182, Number of Steps: 122
Episode 211, Reward: 0.0, Mean Loss: 7.499443695193431, Number of Steps: 122
Episode 212, Reward: 0.0, Mean Loss: 7.500110630129204, Number of Steps: 122
Episode 213, Reward: 0.0, Mean Loss: 7.501954063040311, Number of Steps: 122
Episode 214, Reward: 0.0, Mean Loss: 7.513088597625982, Number of Steps: 122
Episode 215, Reward: 0.0, Mean Loss: 7.516680174186582, Number of Steps: 122
Episode 216, Reward: 0.0, Mean Loss: 7.4974646959148465, Number of Steps: 122
Episode 217, Reward: 0.0, Mean Loss: 7.489090399663956, Number of Steps: 122
Episode 218, Reward: 0.0, Mean Loss: 7.502641838104998, Number of Steps: 122
Episode 219, Reward: 0.0, Mean Loss: 7.514072758252503, Number of Steps: 122
Episode 220, Reward: 0.0, Mean Loss: 7.522971888057521, Number of Steps: 122
Episode 221, Reward: 0.0, Mean Loss: 7.487549543380737, Number of Steps: 122
Episode 222, Reward: 0.0, Mean Loss: 7.502685116939857, Number of Steps: 122
Episode 223, Reward: 0.0, Mean Loss: 7.518165799437976, Number of Steps: 122
Episode 224, Reward: 0.0, Mean Loss: 7.484973500986568, Number of Steps: 122
Episode 225, Reward: 0.0, Mean Loss: 7.512618209494919, Number of Steps: 122
Episode 226, Reward: 0.0, Mean Loss: 7.488429487728681, Number of Steps: 122
Episode 227, Reward: 0.0, Mean Loss: 7.510698893031136, Number of Steps: 122
Episode 228, Reward: 0.0, Mean Loss: 7.513818490700643, Number of Steps: 122
Episode 229, Reward: 0.0, Mean Loss: 7.505867778277788, Number of Steps: 122
Episode 230, Reward: 0.0, Mean Loss: 7.498875481183411, Number of Steps: 122
Episode 231, Reward: 0.0, Mean Loss: 7.489677276767668, Number of Steps: 122
Episode 232, Reward: 0.0, Mean Loss: 7.513598285737585, Number of Steps: 122
Episode 233, Reward: 0.0, Mean Loss: 7.5124661258009615, Number of Steps: 122
Episode 234, Reward: 0.0, Mean Loss: 7.5121408876825555, Number of Steps: 122
Episode 235, Reward: 0.0, Mean Loss: 7.5029354916244255, Number of Steps: 122
Episode 236, Reward: 0.0, Mean Loss: 7.489040988390563, Number of Steps: 122
Episode 237, Reward: 0.0, Mean Loss: 7.502123093995892, Number of Steps: 122
Episode 238, Reward: 0.0, Mean Loss: 7.50979540387138, Number of Steps: 122
Episode 239, Reward: 0.0, Mean Loss: 7.4937733704926535, Number of Steps: 122
Episode 240, Reward: 0.0, Mean Loss: 7.4712576358044736, Number of Steps: 122
Episode 241, Reward: 0.0, Mean Loss: 7.4717499115427986, Number of Steps: 122
Episode 242, Reward: 0.0, Mean Loss: 7.50159942126665, Number of Steps: 122
Episode 243, Reward: 0.0, Mean Loss: 7.505298051677767, Number of Steps: 122
Episode 244, Reward: 0.0, Mean Loss: 7.515778252335846, Number of Steps: 122
Episode 245, Reward: 0.0, Mean Loss: 7.484928721287211, Number of Steps: 122
Episode 246, Reward: 0.0, Mean Loss: 7.46183925378518, Number of Steps: 122
Episode 247, Reward: 0.0, Mean Loss: 7.512393466761855, Number of Steps: 122
Episode 248, Reward: 0.0, Mean Loss: 7.497410782047959, Number of Steps: 122
Episode 249, Reward: 0.0, Mean Loss: 7.500767141092019, Number of Steps: 122
Episode 250, Reward: 0.0, Mean Loss: 7.51386504876809, Number of Steps: 122
Episode 251, Reward: 0.0, Mean Loss: 7.512014443757104, Number of Steps: 122
Episode 252, Reward: 0.0, Mean Loss: 7.504840303639897, Number of Steps: 122
Episode 253, Reward: 0.0, Mean Loss: 7.501260046099053, Number of Steps: 122
Episode 254, Reward: 0.0, Mean Loss: 7.519184948968106, Number of Steps: 122
Episode 255, Reward: 0.0, Mean Loss: 7.489475637185769, Number of Steps: 122
Episode 256, Reward: 0.0, Mean Loss: 7.469476672469592, Number of Steps: 122
Episode 257, Reward: 0.0, Mean Loss: 7.474205779247597, Number of Steps: 122
Episode 258, Reward: 0.0, Mean Loss: 7.51690927099009, Number of Steps: 122
Episode 259, Reward: 0.0, Mean Loss: 7.4890556061854126, Number of Steps: 122
Episode 260, Reward: 0.0, Mean Loss: 7.503609743274626, Number of Steps: 122
Episode 261, Reward: 0.0, Mean Loss: 7.504312378461243, Number of Steps: 122
Episode 262, Reward: 0.0, Mean Loss: 7.504569202172951, Number of Steps: 122
Episode 263, Reward: 0.0, Mean Loss: 7.489510020271677, Number of Steps: 122
Episode 264, Reward: 0.0, Mean Loss: 7.4977371223637315, Number of Steps: 122
Episode 265, Reward: 0.0, Mean Loss: 7.469940506043981, Number of Steps: 122
Episode 266, Reward: 0.0, Mean Loss: 7.50483814223868, Number of Steps: 122
Episode 267, Reward: 0.0, Mean Loss: 7.484681391325153, Number of Steps: 122
